Price,Brand,Model,Power,Efficiency,Link
115.22,Cooler Master,MPW-6001-ACAAG-US,600,80+ Gold,https://amazon.com/dp/B09JPY84Y7?tag=pcbuilder00-20
125.99,Cooler Master,V650,650,80+ Gold,https://amazon.com/dp/B00FBBQERG?tag=pcbuilder00-20
127.9,Cooler Master,V650,650,80+ Gold,https://amazon.com/dp/B08FKRZ2SK?tag=pcbuilder00-20
169,Cooler Master,MWE 650,650,80+ Gold,https://amazon.com/dp/B07JFLBN3K?tag=pcbuilder00-20
135.99,Cooler Master,Master MWE,750,80+ Gold,https://amazon.com/dp/B07JW7M3VX?tag=pcbuilder00-20
138.99,Cooler Master,MPY-7501-SFHAGV-US,750,80+ Gold,https://amazon.com/dp/B08LP7B7FM?tag=pcbuilder00-20
139.58,Cooler Master,V750,750,80+ Gold,https://amazon.com/dp/B08FKM9RY2?tag=pcbuilder00-20
147.94,Cooler Master,MPE-7501-AFAAG-EU,750,80+ Gold,https://amazon.com/dp/B08BKPQQDD?tag=pcbuilder00-20
159.99,Cooler Master,MPX-7503-AFAG-BUS,750,80+ Gold,https://amazon.com/dp/B0CKBC6KX4?tag=pcbuilder00-20
179.99,Cooler Master,MPZ-7501-AFAG-BUS,750,80+ Gold,https://amazon.com/dp/B0BXFPF2G6?tag=pcbuilder00-20
1004.67,Cooler Master,RS750-AFBAG1-US,750,80+ Gold,https://amazon.com/dp/B0185C5YMS?tag=pcbuilder00-20
119.99,Cooler Master,MPE-8501-AFAAG-US,850,80+ Gold,https://amazon.com/dp/B08M9M6DB9?tag=pcbuilder00-20
144.99,Cooler Master,V850,850,80+ Gold,https://amazon.com/dp/B08LP6WS35?tag=pcbuilder00-20
151.9,Cooler Master,MPY-850V-AGBAG-US,850,80+ Gold,https://amazon.com/dp/B00FZSIALI?tag=pcbuilder00-20
158.07,Cooler Master,V850,850,80+ Gold,https://amazon.com/dp/B097Q9DB5G?tag=pcbuilder00-20
159.85,Cooler Master,MPY-7501-SFHAGV,850,80+ Gold,https://amazon.com/dp/B097QC3FPZ?tag=pcbuilder00-20
184.99,Cooler Master,MPZ-8501-AFAG-BUS,850,80+ Gold,https://amazon.com/dp/B0BXFQ6XPB?tag=pcbuilder00-20
230.56,Cooler Master,MPE-A501-AFCAG-3US,1050,80+ Gold,https://amazon.com/dp/B0BVRTCD7M?tag=pcbuilder00-20
625,Cooler Master,MPE-A501-AFCAG-EU,1050,80+ Gold,https://amazon.com/dp/B09DQ655KX?tag=pcbuilder00-20
