Price,Brand,Model,Cabinet Type,Link
83.15,Montech,AIR 1000 PREMIUM BLACK,ATX Mid Tower,https://amazon.com/dp/B09J136P5T?tag=pcbuilder00-20
83.59,Fractal Design,FD-C-POA1A-02,ATX Mid Tower,https://amazon.com/dp/B08SR7LPCD?tag=pcbuilder00-20
83.99,Apevia,MATRIX-PK,ATX Mid Tower,https://amazon.com/dp/B08DPXJY84?tag=pcbuilder00-20
84.11,Cooler Master,Q500-WGNN-S00,ATX Mid Tower,https://amazon.com/dp/B0CD812SJB?tag=pcbuilder00-20
84.99,Antec,NX410,ATX Mid Tower,https://amazon.com/dp/B08PT7V83P?tag=pcbuilder00-20
84.99,Apevia,GENESIS-BK,ATX Mid Tower,https://amazon.com/dp/B08DL9JRT3?tag=pcbuilder00-20
84.99,Fractal Design,FD-C-MEL2C-04,ATX Mid Tower,https://amazon.com/dp/B093HKX953?tag=pcbuilder00-20
85.9,COUGAR,Gemini S Iron-Gray,ATX Mid Tower,https://amazon.com/dp/B07QQWPLR7?tag=pcbuilder00-20
85.9,COUGAR,Gemini S Silver,ATX Mid Tower,https://amazon.com/dp/B07QMQ5LVJ?tag=pcbuilder00-20
85.99,COUGAR,385NC10.0014,ATX Mid Tower,https://amazon.com/dp/B0B42HJKPG?tag=pcbuilder00-20
