Title,Price,Brand,Model,chipset,Form factor,Socket type,Memory slots,max_memory_support,Link
"EVGA Z370 FTW, LGA 1151, Intel Z370, HDMI, SATA 6Gb/s, USB 3.1, USB 3.0, ATX, Intel Motherboard",/A,EVGA,134-KS-E377-KR,Intel Z370,ATX,LGA 1151,,,https://amazon.com/dp/B076PJC11Y?tag=pcbuilder00-20
EVGA 134-KS-E379-KR Classified Intel HDMI Motherboard,/A,EVGA,Z370 Classified,Intel Z370,ATX,LGA 1151,,,https://amazon.com/dp/B07944JJKH?tag=pcbuilder00-20
ASRock Motherboard Motherboards Z370 PRO4,249.99,ASRock,Z370 PRO4,Intel Z370,ATX,LGA 1151,,,https://amazon.com/dp/B07639M7MY?tag=pcbuilder00-20
ASUS ROG Strix H370-F Gaming LGA1151 (300 Series) DDR4 DP HDMI DVI M.2 ATX Motherboard with USB 3.1 Gen2,/A,ASUS,Strix H370-F Gaming,Intel H370,ATX,LGA 1151,,,https://amazon.com/dp/B07CDMQ7YP?tag=pcbuilder00-20
ASUS TUF Z370 Plus Gaming LGA1151 DDR4 HDMI DVI M.2 Z370 ATX Motherboard with Gigabit LAN and USB 3.1 for 8th Generation Intel Core Processors,409.99,ASUS,TUF Z370 Plus Gaming,Intel Z370,ATX,LGA 1151,,,https://amazon.com/dp/B075RJ8WN2?tag=pcbuilder00-20
GIGABYTE H370M DS3H (LGA1151/Intel/H270/USB 3.1 Gen 1 (USB3.0) Type A Type C/Micro ATX/DDR4/Motherboard),198.86 (Used),Gigabyte,H370M DS3H,Intel H370,Micro ATX,LGA 1151,,,https://amazon.com/dp/B07BQ9XQPP?tag=pcbuilder00-20
Gigabyte Z370XP SLI (Intel LGA1151/ Z370/ ATX/ 2xM.2/ SLI/Motherboard),/A,Gigabyte,Z370XP SLI,Intel Z370,ATX,LGA 1151,,,https://amazon.com/dp/B0764NX8DR?tag=pcbuilder00-20
"ASRock H370 Performance LGA 1151 based ATX Motherboard with Intel H370 Chipset Support, DDR4, Quad CrossFireX, SATA 3, USB 3.1, M.2, and A&GbE",168 (Used),ASRock,H370 Performance,Intel H370,ATX,LGA 1151,,,https://amazon.com/dp/B07BMV3X79?tag=pcbuilder00-20
GIGABYTE Z370 AORUS Ultra Gaming (Intel LGA1151/ Z370/ ATX/ 2xM.2/ Front USB 3.1/ RGB Fusion/ Fan Stop / SLI / Motherboard),199.99 (Used),Gigabyte,Z370 AORUS Ultra Gaming,Intel Z370,ATX,LGA 1151,,,https://amazon.com/dp/B075LC78QK?tag=pcbuilder00-20
"ASRock H370M PRO4 Intel H370 Chipset Based MicroATX Motherboard with DDR4, Quad CrossFireX, SATA 3, USB 3.1, M.2, and GbE",156 (Used),ASRock,H370M PRO4,Intel H370,Micro ATX,LGA 1151,,,https://amazon.com/dp/B07BMVTZDW?tag=pcbuilder00-20
ASUS TUF Z370 Pro Gaming LGA1151 DDR4 HDMI DVI M.2 Z370 ATX Motherboard with Gigabit LAN and USB 3.1 for 8th Generation Intel Core Processors,289.99 (Used),ASUS,TUF Z370 Pro Gaming,Intel Z370,ATX,LGA 1151,,,https://amazon.com/dp/B075RJP22C?tag=pcbuilder00-20
