Title,Price,Brand,Model,Capacity:,Type:,RPM,Interface,Cache Memory,Form Factor,Link
"Crucial BX500 240GB 3D NAND SATA III 6 Gb/s 2.5"" Internal Solid State Drive",22.85,Crucial,BX500,240 GB,SSD,,SATA III 6 Gb/s,,"2.5""",https://amazon.com/dp/B07G3YNLJB?tag=pcbuilder00-20
Sabrent Rocket 500GB PCIe 4.0 NVMe M.2-2280 Internal Solid State Drive,78.99,Sabrent,Rocket 500GB,500 GB,SSD,,PCIe x4,,M.2-2280,https://amazon.com/dp/B07XFGPFZK?tag=pcbuilder00-20
"Western Digital WD Blue 2TB SATA III 6 Gb/s 2.5"" Internal Solid State Drive",149.99,Western Digital,WD Blue,2 TB,SSD,,SATA 6 Gb/s,,"2.5""",https://amazon.com/dp/B073SBRHH6?tag=pcbuilder00-20
"PNY CS900 500GB SATA III 6 Gb/s 2.5"" Internal Solid State Drive",29.99,PNY,CS900,500 GB,SSD,,SATA III 6 Gb/s,,"2.5""",https://amazon.com/dp/B07XZLN9KM?tag=pcbuilder00-20
"Seagate FireCuda 1TB SATA 6Gb/s 2.5"" Gaming Solid State Hybrid Drive (SSHD) with 5400 RPM & 8192 MB Cache",135,Seagate,FireCuda,1 TB,SSHD,5400 RPM,SATA 6 Gb/s,8192 MB,"2.5""",https://amazon.com/dp/B01LWRTRZU?tag=pcbuilder00-20
"Crucial BX500 120GB 3D NAND SATA 2.5"" Internal Solid State Drive",/A,Crucial,BX500,120 GB,SSD,,SATA III 6 Gb/s,,"2.5""",https://amazon.com/dp/B07G3KRZBY?tag=pcbuilder00-20
"PNY CS900 1TB 3D NAND 2.5"" Internal Solid State Drive",54.99,PNY,CS900,1 TB,SSD,,SATA III 6 Gb/s,,"2.5""",https://amazon.com/dp/B07Y5VDNT9?tag=pcbuilder00-20
"Inland Professional 480GB 3D NAND SATA III 6Gb/s 2.5"" Internal Solid State Drive",29.99,INLAND,Professional,480 GB,SSD,,SATA 6 Gb/s,,"2.5""",https://amazon.com/dp/B07BD32RLK?tag=pcbuilder00-20
"Seagate BarraCuda 2TB SATA 6Gb/s 3.5"" Internal Hard Drive with 7200 RPM & 64MB Cache",99.94,Seagate,BarraCuda,2 TB,HDD,7200 RPM,SATA 6 Gb/s,64 MB,"3.5""",https://amazon.com/dp/B01IEKG402?tag=pcbuilder00-20
"Western Digital WD Green 120GB SATA 2.5"" Internal Solid State Drive",62,Western Digital,WD Green,120 GB,SSD,,SATA 6 Gb/s,,"2.5""",https://amazon.com/dp/B076XWDN6V?tag=pcbuilder00-20
"Seagate Firecuda 520, 2TB PCIe Gen4 X4 NVMe High Performance Internal Solid State Drive",270.99,Seagate,FireCuda,2 TB,SSD,,PCIe 4.0 X4,,M.2-2280,https://amazon.com/dp/B07ZPRPFQY?tag=pcbuilder00-20
Inland Premium 1TB PCIe 3.0 x4 NVMe M.2-2280 Internal Solid State Drive,179.99,INLAND,Premium,1 TB,SSD,,PCIe 3.0 x4,,M.2-2280,https://amazon.com/dp/B07RCM6DXK?tag=pcbuilder00-20
Sabrent Rocket 1TB PCIe NVMe M.2-2280 Internal High Performance Solid State Drive,94.99,Sabrent,Rocket,1 TB,SSD,,PCIe 3.1 x4,,M.2-2280,https://amazon.com/dp/B07LGF54XR?tag=pcbuilder00-20
ADATA Swordfish 1TB 3D NAND PCIe Gen3x4 NVMe M.2-2280 Internal Solid State Drive,72.99,ADATA,Swordfish,1 TB,SSD,,PCIe 3.0 x4,,M.2-2280,https://amazon.com/dp/B08973FBKQ?tag=pcbuilder00-20
